intervention_class,outcome,metric,value,framework,framework_item,guidance_interpretation
SGLT2 inhibitors,HF_HOSPITALIZATION,reporting_debt_rate,0.5,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
ARNI,SAE,ecr_participants,1.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
ARNI,SAE,ecr_trials,1.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
ARNI,SAE,eligible_completed_trials,1,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
ARNI,SAE,endpoint_alignment_rate,1.0,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
ARNI,SAE,heterogeneity_i2,0.0,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
ARNI,SAE,mnar_robust_under_scenario,True,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
ARNI,SAE,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
MRA,SAE,ecr_participants,1.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
MRA,SAE,ecr_trials,1.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
MRA,SAE,eligible_completed_trials,1,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
MRA,SAE,endpoint_alignment_rate,1.0,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
MRA,SAE,heterogeneity_i2,0.0,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
MRA,SAE,mnar_robust_under_scenario,True,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
MRA,SAE,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
SGLT2 inhibitors,SAE,ecr_participants,0.5555555555555556,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
SGLT2 inhibitors,SAE,ecr_trials,0.5,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
SGLT2 inhibitors,SAE,eligible_completed_trials,2,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
SGLT2 inhibitors,SAE,endpoint_alignment_rate,1.0,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
SGLT2 inhibitors,SAE,heterogeneity_i2,0.0,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
SGLT2 inhibitors,SAE,mnar_robust_under_scenario,True,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
SGLT2 inhibitors,SAE,reporting_debt_rate,0.5,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
